kri_id,risk_type,kri_name,unit,direction,c1,c2,c3,c4,kri_weight,frequency,measurement_type,value_start_2025_10,value_target_2026_09,target_score,stress_sensitive,kri_owner
CR01,Credit,NPF gross,%,lower,2.0,2.5,3.0,3.5,0.35,monthly,quantitative,2.3,2.8,3,Y,Credit Risk Management
CR02,Credit,NPF segmen UMKM,%,lower,3.0,4.0,5.0,6.0,0.15,monthly,quantitative,4.2,5.3,4,Y,Credit Risk Management
CR03,Credit,Rasio pembiayaan kolektibilitas 2 (DPD 1-90),%,lower,4.0,6.0,8.0,10.0,0.15,monthly,quantitative,5.0,6.5,3,Y,Credit Risk Management
CR04,Credit,Konsentrasi 10 nasabah terbesar,% pembiayaan,lower,15,20,25,30,0.15,monthly,quantitative,17.5,18.1,2,N,Credit Risk Management
CR05,Credit,Konsentrasi sektor terbesar,% pembiayaan,lower,15,20,25,30,0.20,monthly,quantitative,19.0,21.4,3,N,Credit Risk Management
MR01,Market,Posisi Devisa Neto (PDN),% modal,lower,5,10,15,20,0.40,monthly,quantitative,6.0,7.2,2,Y,Treasury Middle Office
MR02,Market,Sensitivitas sukuk FVOCI thd +100 bps (absolut),% modal,lower,1,2,3,4,0.30,monthly,quantitative,1.6,2.1,3,Y,Treasury Middle Office
MR03,Market,Repricing gap <=1 thn (absolut),% total aset,lower,5,10,15,20,0.30,monthly,quantitative,7.5,8.5,2,N,ALM
LQ01,Liquidity,Synthetic Liquidity Stress Indicator (SLSI),%,higher,125,110,105,100,0.35,monthly,quantitative,128,116,2,Y,Treasury / ALM
LQ02,Liquidity,Financing to Deposit Ratio (FDR),%,lower,85,90,95,100,0.15,monthly,quantitative,82.0,85.4,2,Y,ALM
LQ03,Liquidity,Konsentrasi 20 deposan terbesar,% DPK,lower,15,20,25,30,0.20,monthly,quantitative,20.5,22.0,3,Y,Treasury / ALM
LQ04,Liquidity,Negative maturity gap <=1 bulan (absolut),% total aset,lower,5.0,7.5,10.0,12.5,0.15,monthly,quantitative,6.5,10.5,4,Y,ALM
LQ05,Liquidity,Penurunan DPK 3 bulan,%,lower,2,4,6,8,0.15,monthly,quantitative,1.0,4.5,3,Y,Treasury / ALM
OR01,Operational,Jumlah insiden operasional,count/bulan,lower,10,15,20,25,0.20,monthly,semi-quantitative,12,21,4,Y,Operational Risk Management
OR02,Operational,Insiden high-severity (rolling 3 bulan),count,lower,1,2,4,6,0.25,monthly,semi-quantitative,1,3,3,Y,Operational Risk Management
OR03,Operational,Kerugian operasional rolling 12 bulan,% gross income,lower,0.5,1.0,1.5,2.0,0.25,monthly,semi-quantitative,0.9,1.6,4,Y,Operational Risk Management
OR04,Operational,Repeat incident rate,%,lower,3,5,7,10,0.15,monthly,semi-quantitative,4.0,8.0,4,N,Operational Risk Management
OR05,Operational,Insiden melewati SLA penyelesaian,%,lower,5,10,15,20,0.15,monthly,semi-quantitative,8,12,3,Y,Operational Risk Management
ST01,Strategic,Deviasi pertumbuhan pembiayaan YoY vs target (absolut),pp,lower,2,4,6,8,0.30,monthly,semi-quantitative,3,7,4,Y,Corporate Planning
ST02,Strategic,Pencapaian laba YTD vs RKB,%,higher,100,95,90,85,0.30,monthly,semi-quantitative,99,93,3,Y,Corporate Planning
ST03,Strategic,Cost to income (BOPO proxy),%,lower,75,80,85,90,0.25,monthly,semi-quantitative,78,82,3,Y,Corporate Planning
