kri_id,risk_type,action_owner,recommended_action
CR01,Credit,Credit Risk Management,"Perketat pemantauan nasabah watchlist dan percepat restrukturisasi pembiayaan bermasalah sesuai ketentuan akad."
CR02,Credit,Credit Risk Management,"Tinjau ulang kriteria underwriting UMKM dan batasi ekspansi pada segmen dengan kualitas memburuk."
CR03,Credit,Credit Risk Management,"Intensifkan penagihan dini Kol-2 dan lakukan review kemampuan bayar nasabah per segmen."
CR04,Credit,Credit Risk Management,"Batasi penambahan eksposur 10 nasabah terbesar dan evaluasi sindikasi atau risk sharing."
CR05,Credit,Credit Risk Management,"Terapkan limit sektor sementara dan arahkan pertumbuhan pembiayaan ke sektor lain."
MR01,Market,Treasury Middle Office,"Kurangi posisi devisa neto terbuka melalui lindung nilai syariah atau penyesuaian aset valas."
MR02,Market,Treasury Middle Office,"Kurangi durasi portofolio sukuk FVOCI dan batasi pembelian seri tenor panjang."
MR03,Market,ALM,"Seimbangkan repricing gap melalui penyesuaian tenor pendanaan dan pembiayaan."
LQ01,Liquidity,Treasury / ALM,"Tambah cadangan aset likuid berkualitas dan uji kesiapan contingency funding plan."
LQ02,Liquidity,ALM,"Tahan ekspansi pembiayaan hingga pertumbuhan DPK mencukupi dan percepat penghimpunan dana ritel."
LQ03,Liquidity,Treasury / ALM,"Diversifikasi basis deposan dan kurangi ketergantungan pada 20 deposan terbesar."
LQ04,Liquidity,ALM,"Perpanjang tenor pendanaan dan tata ulang jadwal jatuh tempo aset-liabilitas jangka pendek."
LQ05,Liquidity,Treasury / ALM,"Aktifkan program retensi deposan dan pantau harian penarikan dana nasabah besar."
OR01,Operational,Operational Risk Management,"Lakukan root cause analysis insiden transaksi digital dan perkuat kontrol proses harian."
OR02,Operational,Operational Risk Management,"Eskalasi insiden high-severity ke Direksi dan tetapkan rencana perbaikan dengan tenggat jelas."
OR03,Operational,Operational Risk Management,"Tinjau kecukupan kontrol pada proses penyebab kerugian terbesar dan evaluasi opsi asuransi."
OR04,Operational,Operational Risk Management,"Pastikan tindak lanjut root cause tuntas sebelum insiden ditutup dan audit efektivitas perbaikan."
OR05,Operational,Operational Risk Management,"Tambah kapasitas tim penanganan insiden dan pantau mingguan penyelesaian yang melewati SLA."
ST01,Strategic,Corporate Planning,"Selaraskan laju pertumbuhan pembiayaan dengan RKB dan pastikan standar underwriting tidak dilonggarkan."
ST02,Strategic,Corporate Planning,"Tinjau proyeksi laba, identifikasi penyebab deviasi, dan susun langkah perbaikan pendapatan."
ST03,Strategic,Corporate Planning,"Jalankan program efisiensi biaya operasional dan tunda belanja yang tidak prioritas."
ST04,Strategic,Corporate Planning,"Prioritaskan ulang inisiatif strategis dan tetapkan penanggung jawab untuk inisiatif terlambat."
CP01,Compliance,Compliance,"Petakan penyebab pelanggaran regulasi dan perkuat kontrol kepatuhan pada unit terkait."
CP02,Compliance,Compliance,"Percepat remediasi pelanggaran high-severity yang overdue dan laporkan progres mingguan ke Direksi."
CP03,Compliance,Compliance,"Evaluasi efektivitas tindakan korektif dan wajibkan verifikasi independen sebelum temuan ditutup."
CP04,Compliance,Compliance / DPS Secretariat,"Tuntaskan temuan DPS terbuka bersama unit bisnis dan sesuaikan akad dengan opini DPS."
LG01,Legal,Legal,"Tinjau portofolio kasus terbuka dan dorong penyelesaian damai untuk kasus bernilai rendah."
LG02,Legal,Legal,"Susun strategi penanganan khusus kasus high-risk dan libatkan kuasa hukum eksternal bila perlu."
LG03,Legal,Legal,"Nilai ulang potensi kerugian hukum dan pastikan kecukupan pencadangan untuk kasus material."
LG04,Legal,Legal,"Prioritaskan penyelesaian kasus berumur lebih dari satu tahun melalui mediasi atau upaya hukum."
RP01,Reputation,Customer Care / Corsec,"Identifikasi penyebab lonjakan komplain dan komunikasikan langkah perbaikan layanan kepada nasabah."
RP02,Reputation,Customer Care / Corsec,"Tangani komplain severe secara prioritas dan eskalasi pola berulang ke unit pemilik proses."
RP03,Reputation,Customer Care / Corsec,"Tambah kapasitas penanganan komplain dan pantau mingguan komplain yang melewati SLA."
RP04,Reputation,Customer Care / Corsec,"Tingkatkan komunikasi publik proaktif dan respons cepat terhadap isu negatif di media."
RR01,Rate of Return,ALM,"Tinjau nisbah bagi hasil deposito terhadap benchmark pasar dengan memperhatikan dampak ke laba."
RR02,Rate of Return,ALM,"Perbaiki komunikasi ekspektasi imbal hasil kepada deposan dan evaluasi kebijakan distribusi bagi hasil."
RR03,Rate of Return,ALM / Finance,"Optimalkan komposisi pembiayaan berimbal hasil lebih tinggi dan kendalikan biaya dana."
RR04,Rate of Return,ALM,"Batasi pembiayaan margin tetap bertenor panjang dan dorong akad dengan repricing berkala."
IV01,Investment,Treasury Investment,"Batasi penambahan eksposur pada penerbit non-sovereign terbesar dan diversifikasi portofolio sukuk."
IV02,Investment,Treasury Investment,"Kurangi eksposur sukuk berperingkat di bawah idA dan perketat kriteria pembelian."
IV03,Investment,Treasury Investment,"Evaluasi strategi portofolio FVOCI dan pertimbangkan pengurangan posisi yang paling sensitif."
IV04,Investment,Treasury Investment,"Turunkan modified duration portofolio melalui rebalancing ke sukuk bertenor lebih pendek."
